CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
148;MT;14366;C;1;0;;1.52531;0.63295;0.18496;ROSA;1213;;0
81;CH;140819;A;19;0;;0.93259;1.90011;0.09391;ROSA;1194;;0
74;CH;140468;B;7;0;;3.81176;0.7442;0.24129;ROSA;1194;;0
79;CH;141123;D;3;0;;0.76651;1.69321;0.09277;LARANJA;1198;;1
80;CH;141466;C;20;0;;2.82802;0.97492;0.32247;ROSA;1274;;0
43;LC;141443;C;27;0;;2.20477;0.52119;0.1393;VERDE;1313;;0
38;LC;88031;E;30;0;;1.73107;1.60103;0.19199;VERDE;1313;;0
36;LC;140861;E;15;0;;1.44927;2.3924;0.16723;VERDE;1313;;0
20;LC;140944;E;15;0;;1.74817;1.91976;0.19926;VERDE;1314;;0
158;MT;125956;A;29;0;;1.21177;3.11314;0.10322;ROSA;1253;;0
156;MT;14661;C;11;0;;2.1714;0.98005;0.19773;ROSA;1253;;0
150;MT;44285;E;8;0;;2.94723;2.87386;0.06733;ROSA;1253;;0
148;MT;37312;D;4;0;;1.84465;0.56332;0.22289;ROSA;1253;;0
137;MT;85504;B;21;0;;2.21375;1.82985;0.15414;VERDE;1316;;0
73;CH;141021;B;24;0;;2.15539;2.47587;0.28708;LARANJA;1237;;0
14;LC;141241;B;11;0;;1.67142;1.62234;0.24018;AMARELA;1246;;0
10;LC;140866;E;17;0;;1.49999;1.57603;0.1612;LARANJA;1247;;0
108;CN;84984;C;11;0;;1.42963;0.8045;0.16236;LARANJA;1308;;1
133;CN;88089;C;28;0;;1.81565;0.85403;0.17723;LARANJA;1268;;1
131;CN;78962;C;26;0;;3.54791;0.5346;0.18023;LARANJA;1268;;1
177;MT;125975;A;6;0;;1.42997;1.57887;0.13599;AMARELA;1256;;0
2;LC;140725;E;8;0;;2.69388;1.12425;0.13443;AMARELA;1286;0;0
4;LC;140730;D;7;0;;2.77283;0.35669;0.17995;BRANCA;1244;0;0
82;CH;141046;B;20;0;;1.10013;0.36112;0.3516;LARANJA;1197;;0
81;CH;140819;A;19;0;;0.93259;1.90011;0.09391;LARANJA;1197;;0
78;CH;140815;C;28;0;;1.15078;0.24134;0.01092;LARANJA;1197;;0
76;CH;141350;A;12;0;;1.97882;2.37904;0.24518;LARANJA;1197;;0
4;LC;140732;B;7;0;;2.91867;0.12363;0.19992;ROSA;1205;0;0
2;LC;140725;E;8;0;;2.69388;1.12425;0.13443;AMARELA;1245;0;0
106;CN;89506;E;8;0;;1.59807;2.0059;0.08163;AMARELA;1302;;0
129;CN;60991;D;25;0;;3.56699;1.70996;0.19228;ROSA;1304;;0
102;CN;89675;C;9;0;;2.45026;2.11499;0.18741;ROSA;1304;;0
132;CN;117924;E;27;0;;2.12814;2.10133;0.11495;AMARELA;1305;;0
94;CN;14364;E;22;0;;1.30204;-0.26232;0.10055;CINZA;1263;;0
109;CN;111662;D;12;0;;2.43262;2.4702;0.29927;ROSA;1264;;0
47;CH;141044;C;2;0;;3.33701;0.2793;0.20318;LARANJA;1278;;1
88;CH;140184;B;23;0;;2.24911;0.26187;0.21039;LEITOR TELA;1280;;0
118;CN;12018;D;29;0;;1.82986;1.82071;0.19864;VERDE;1229;;0
96;CN;85436;E;29;0;;1.56816;1.75342;0.18632;VERDE;1229;;0
128;CN;89769;D;30;0;;2.21757;2.35841;0.11592;LEITOR TELA;1230;;0
65;CH;141104;A;13;0;;3.50089;0.56073;0.15911;AZUL;1191;;0
50;CH;141106;E;5;0;;3.29734;1.19128;0.15604;AZUL;1191;;0
46;CH;141142;D;30;0;;3.20901;-0.05645;0.29486;AMARELA;1192;;0
89;CH;118063;C;26;0;;2.59313;0.08088;0.14645;AMARELA;1192;;0
66;CH;141017;D;7;0;;2.01061;1.68198;0.19435;LARANJA;1238;;1
26;LC;141475;A;22;0;;3.31899;0.8809;0.16091;AMARELA;1285;;0
102;CN;54804;E;24;0;;3.7763;1.61245;0.10238;VERDE;1318;;0
92;CN;60332;E;10;0;;3.39558;1.60649;0.08851;VERDE;1318;;0
3;LC;140730;D;7;0;;2.77283;0.35669;0.17995;LARANJA;1248;0;1
98;CN;88570;C;4;0;;2.24692;1.39111;0.18364;AMARELA;1265;;0
96;CN;89877;E;30;0;;2.64928;1.83585;0.205;AMARELA;1265;;0
44;LC;11815;C;13;0;;1.24801;0.998;0.194;BRANCA;1244;;0
39;LC;15026;D;14;0;;1.85867;0.9812;0.24537;BRANCA;1244;;0
35;LC;14713;E;15;0;;1.29568;1.21007;0.14848;BRANCA;1244;;0
5;LC;140614;C;8;0;;2.25894;1.00728;0.17726;AMARELA;1285;0;0
171;MT;55880;B;28;0;;1.83744;2.4295;0.10941;LEITOR TELA;1300;;0
169;MT;141563;E;7;0;;2.0018;1.46283;0.23942;LEITOR TELA;1300;;0
165;MT;117920;A;30;0;;2.92825;1.17752;0.17261;LEITOR TELA;1300;;0
119;CN;89877;E;30;0;;2.64928;1.83585;0.205;CINZA;1263;;0
54;CH;141028;D;10;0;;2.27674;0.22219;0.20185;LEITOR TELA;1240;;0
5;LC;140718;E;8;0;;2.73373;0.00161;0.19391;AMARELA;1286;1;0
117;CN;96496;B;17;0;;3.65573;1.2408;0.31288;LARANJA;1267;;0
109;CN;111662;D;12;0;;2.43262;2.4702;0.29927;LARANJA;1267;;0
106;CN;126545;A;10;0;;1.75908;1.33559;0.23258;LARANJA;1267;;0
105;CN;87842;E;9;0;;1.65903;1.58501;0.24699;LARANJA;1267;;0
122;CN;63407;C;20;0;;1.67788;1.97964;0.28897;LARANJA;1267;;0
162;MT;111538;D;27;0;;1.56473;0.75949;0.32554;CINZA;1294;;0
79;CH;12445;A;15;0;;1.893;0.675;0.185;AMARELA;1272;;0
136;MT;14812;D;20;0;;1.56944;-0.00093;0.11987;AMARELA;1256;;0
180;MT;125933;B;10;0;;2.60187;2.11188;0.26394;ROSA;1213;;0
86;CH;140534;D;6;0;;2.79594;0.44013;0.15523;ROSA;1194;;0
85;CH;141383;C;10;0;;1.74142;-0.55783;0.01877;ROSA;1195;;0
28;LC;140858;C;16;0;;2.59213;1.19798;0.23009;BRANCA;1204;;0
10;LC;111887;E;29;0;;3.04416;0.33951;0.1833;AMARELA;1202;;0
45;LC;140949;C;16;0;;1.43175;0.80537;0.12273;ROSA;1203;;0
93;CN;126604;D;12;0;;3.09202;0.32873;0.1577;LEITOR TELA;1230;;0
86;CH;63858;C;4;0;;2.12258;0.82426;0.22694;AZUL;1231;;0
80;CH;141122;D;11;0;;2.6472;0.15404;0.18491;AZUL;1231;;0
67;CH;140611;A;19;0;;1.72609;-0.17378;0.1911;AZUL;1231;;0
153;MT;117706;A;19;0;;2.26306;1.45121;0.23837;ROSA;1215;;0
151;MT;31650;C;27;0;;3.33563;1.08025;0.20912;ROSA;1215;;0
85;CH;140548;C;29;0;;3.00594;-0.06348;0.20314;AMARELA;1235;;0
83;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;AMARELA;1235;;0
81;CH;140576;B;21;0;;1.33537;-0.77276;0.19854;AMARELA;1235;;0
80;CH;141466;C;20;0;;2.82802;0.97492;0.32247;LARANJA;1277;;0
65;CH;96984;C;14;0;;1.16096;1.65456;0.1754;LARANJA;1277;;0
64;CH;140153;D;1;0;;2.45957;2.43937;0.13227;LARANJA;1277;;0
55;CH;141422;A;13;0;;2.48797;0.09997;0.18327;LARANJA;1277;;0
134;CN;85436;E;29;0;;1.56816;1.75342;0.18632;AZUL;1221;;0
127;CN;97813;C;15;0;;3.04923;2.24438;0.15941;AZUL;1221;;0
118;CN;12018;D;29;0;;1.82986;1.82071;0.19864;LARANJA;1227;;0
155;MT;86783;B;4;0;;3.58609;3.00088;0.19242;ROSA;1216;;0
20;LC;140944;E;15;0;;1.74817;1.91976;0.19926;LEITOR TELA;1210;;0
19;LC;120648;C;14;0;;1.82581;1.45066;0.12254;LEITOR TELA;1210;;0
99;CN;64023;E;13;0;;1.81427;1.4199;0.25187;LARANJA;1227;;0
95;CN;43890;E;27;0;;3.63689;1.43988;0.1836;LARANJA;1227;;0
141;MT;126028;B;7;0;;2.33037;1.91643;0.0839;ROSA;1216;;0
151;MT;31650;C;27;0;;3.33563;1.08025;0.20912;LARANJA;1218;;1
149;MT;125969;C;30;0;;1.78452;0.74313;0.18879;LARANJA;1218;;1
159;MT;32176;B;25;0;;2.26313;1.23798;0.16267;VERDE;1219;;0
155;MT;85613;B;4;0;;1.56337;0.09695;0.19038;VERDE;1219;;0
72;CH;141118;C;7;0;;2.58516;0.39346;0.17772;BRANCA;1193;;0
70;CH;140819;A;19;0;;0.93259;1.90011;0.09391;BRANCA;1193;;0
65;CH;140166;A;15;0;;2.42214;-0.62019;0.09595;BRANCA;1193;;0
63;CH;140815;C;28;0;;1.15078;0.24134;0.01092;BRANCA;1193;;0
7;LC;141231;D;9;0;;1.59315;-0.23802;0.19091;ROSA;1243;;0
19;LC;141283;B;14;0;;2.20125;0.82582;0.2119;BRANCA;1284;;0
164;MT;53460;C;26;0;;2.93674;0.49751;0.15129;CINZA;1294;;0
58;CH;141466;C;20;0;;2.82802;0.97492;0.32247;AZUL;1271;;0
55;CH;140548;C;29;0;;3.00594;-0.06348;0.20314;AZUL;1271;;0
54;CH;141387;B;25;0;;2.50523;-0.04116;0.18539;AZUL;1271;;0
51;CH;140576;B;21;0;;1.33537;-0.77276;0.19854;AZUL;1271;;0
145;MT;125965;C;10;0;;2.47907;0.45055;0.17829;AMARELA;1295;;0
169;MT;125929;B;9;0;;1.58702;2.1908;0.24232;VERDE;1315;;0
164;MT;14389;A;15;0;;0.96035;1.52433;0.14823;VERDE;1315;;0
159;MT;32176;B;25;0;;2.26313;1.23798;0.16267;VERDE;1315;;0
2;LC;140765;A;6;0;;3.17668;0.44857;0.18727;VERDE;1313;1;0
176;MT;117601;E;10;0;;3.53513;2.27283;0.14674;ROSA;1253;;0
175;MT;117594;D;14;0;;2.85622;2.39663;0.21409;AMARELA;1255;;0
31;LC;140921;B;29;0;;1.98881;0.13165;0.16935;LARANJA;1287;;0
9;LC;7238;E;18;0;;1.89;0.197;0.172;LARANJA;1287;;0
132;CN;117887;E;12;0;;2.73097;0.32923;0.13662;VERDE;1317;;0
177;MT;14812;D;20;0;;1.56944;-0.00093;0.11987;CINZA;1254;;0
174;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AMARELA;1255;;0
77;CH;140528;A;18;0;;3.7616;0.50306;0.17834;AMARELA;1276;;0
74;CH;12445;A;15;0;;1.893;0.675;0.185;AMARELA;1276;;0
42;LC;140926;D;26;0;;1.95105;-0.13372;0.19557;LARANJA;1287;;0
33;LC;140878;D;28;0;;2.15451;0.45326;0.16205;LARANJA;1287;;0
28;LC;140870;A;24;0;;1.89752;0.42059;0.21091;LARANJA;1287;;0
76;CH;26296;E;19;0;;1.8315;0.44019;0.19555;LARANJA;1237;;0
36;LC;140848;B;19;0;;1.22583;0.23244;0.19294;LARANJA;1288;;1
27;LC;141405;C;4;0;;1.30934;-0.45847;0.20553;LARANJA;1288;;1
24;LC;140835;B;20;0;;3.6215;-0.18111;0.18705;LARANJA;1288;;1
23;LC;140952;B;17;0;;1.20716;0.28152;0.18862;LARANJA;1288;;1
28;LC;140987;C;22;0;;1.84344;1.65132;0.12303;VERDE;1209;;0
13;LC;141243;A;11;0;;2.00614;-0.27647;0.09754;VERDE;1209;;0
11;LC;141204;B;10;0;;1.81453;-0.08926;0.19896;VERDE;1209;;0
176;MT;141513;A;20;0;;1.72676;0.3783;0.17229;AMARELA;1212;;0
115;CN;111466;A;1;0;;3.38485;2.02004;0.18168;LARANJA;1227;;0
110;CN;117866;B;10;0;;2.33748;1.77344;0.10811;LARANJA;1227;;0
103;CN;66259;B;20;0;;2.34079;1.00185;0.23885;LARANJA;1227;;0
122;CN;48641;C;24;0;;3.37503;1.55583;0.25041;LARANJA;1227;;0
21;LC;141283;B;14;0;;2.20125;0.82582;0.2119;LEITOR TELA;1290;;0
17;LC;141406;D;29;0;;2.58466;2.6116;0.171;LEITOR TELA;1290;;0
98;CN;83558;E;21;0;;1.52403;0.95966;0.15221;VERDE;1318;;0
2;LC;140725;E;8;0;;2.69388;1.12425;0.13443;AMARELA;1246;0;0
45;LC;15026;D;14;0;;1.85867;0.9812;0.24537;LARANJA;1247;;0
26;LC;141475;A;22;0;;3.31899;0.8809;0.16091;LARANJA;1247;;0
177;MT;68293;A;1;0;;2.35737;1.93601;0.11076;LEITOR TELA;1300;;0
10;LC;140866;E;17;0;;1.49999;1.57603;0.1612;LEITOR TELA;1250;;0
4;LC;140566;E;7;0;;1.6142;0.66623;0.19198;LEITOR TELA;1250;1;0
2;LC;140729;C;6;0;;1.52132;1.43573;0.2144;LEITOR TELA;1250;1;0
4;LC;140697;E;6;0;;3.02681;1.22717;0.15562;LEITOR TELA;1250;0;0
3;LC;140730;D;7;0;;2.77283;0.35669;0.17995;LEITOR TELA;1290;0;0
162;MT;125965;C;10;0;;2.47907;0.45055;0.17829;AZUL;1251;;0
173;MT;82327;B;21;0;;2.37767;2.75304;0.28057;AMARELA;1252;;0
74;CH;140153;D;1;0;;2.45957;2.43937;0.13227;AMARELA;1232;;0
72;CH;140489;C;27;0;;2.44955;0.28832;0.1725;AMARELA;1232;;0
167;MT;111560;A;15;0;;2.34866;1.28885;0.1796;AMARELA;1252;;0
93;CN;14425;A;30;0;;1.15501;0.25068;0.12671;AZUL;1261;;0
104;CN;89506;E;8;0;;1.59807;2.0059;0.08163;AMARELA;1305;;0
160;MT;44285;E;8;0;;2.94723;2.87386;0.06733;AMARELA;1252;;0
139;MT;125914;D;24;0;;1.7035;1.0704;0.1698;AMARELA;1252;;0
101;CN;85789;C;7;0;;3.69143;1.47336;0.20493;AMARELA;1305;;0
99;CN;9513;B;6;0;;2.85738;1.3405;0.11903;AMARELA;1305;;0
62;CH;140180;A;11;0;;2.54102;0.57876;0.1767;LARANJA;1278;;1
90;CH;140588;B;28;0;;2.21675;0.28898;0.20874;LARANJA;1238;;1
88;CH;140184;B;23;0;;2.24911;0.26187;0.21039;LARANJA;1238;;1
85;CH;140548;C;29;0;;3.00594;-0.06348;0.20314;LARANJA;1238;;1
72;CH;141313;A;9;0;;1.73459;1.11117;0.2438;LARANJA;1278;;1
70;CH;87223;B;3;0;;2.00691;2.05587;0.29477;LARANJA;1278;;1
66;CH;141017;D;7;0;;2.01061;1.68198;0.19435;LARANJA;1278;;1
31;LC;141450;A;2;0;;2.53799;0.9971;0.24444;AZUL;1281;;0
27;LC;140870;A;24;0;;1.89752;0.42059;0.21091;AZUL;1281;;0
9;LC;141406;D;29;0;;2.58466;2.6116;0.171;AZUL;1281;;0
2;LC;140566;E;7;0;;1.6142;0.66623;0.19198;AMARELA;1242;1;0
31;LC;140921;B;29;0;;1.98881;0.13165;0.16935;AMARELA;1286;;0
25;LC;140806;D;16;0;;2.24767;0.37674;0.18584;AMARELA;1286;;0
23;LC;140952;B;17;0;;1.20716;0.28152;0.18862;AMARELA;1286;;0
139;MT;44095;C;8;0;;2.56873;2.03809;0.20898;AMARELA;1256;;0
151;MT;53460;C;26;0;;2.93674;0.49751;0.15129;AMARELA;1256;;0
149;MT;125932;B;22;0;;3.05237;2.18342;0.22043;AMARELA;1256;;0
148;MT;37312;D;4;0;;1.84465;0.56332;0.22289;AMARELA;1256;;0
141;MT;126028;B;7;0;;2.33037;1.91643;0.0839;LEITOR TELA;1220;;0
165;MT;14994;E;28;0;;2.70307;1.3682;0.16099;VERDE;1219;;0
169;MT;125929;B;9;0;;1.58702;2.1908;0.24232;ROSA;1213;;0
89;CH;141049;D;22;0;;1.40431;0.08591;0.21032;VERDE;1199;;0
3;LC;15035;A;6;0;;1.77757;-0.01459;0.17756;ROSA;1206;1;0
53;CH;141104;A;13;0;;3.50089;0.56073;0.15911;ROSA;1195;;0
46;CH;140166;A;15;0;;2.42214;-0.62019;0.09595;ROSA;1196;;0
83;CH;140657;A;29;0;;1.46885;0.7104;0.193;ROSA;1196;;0
39;LC;97007;C;4;0;;1.9592;0.91289;0.16231;AZUL;1201;;0
24;LC;140857;E;21;0;;1.2615;-0.59214;0.01135;AZUL;1201;;0
17;LC;141229;A;14;0;;2.6904;1.08302;0.17386;LARANJA;1207;;0
11;LC;141204;B;10;0;;1.81453;-0.08926;0.19896;LARANJA;1207;;0
8;LC;140920;E;3;0;;1.41999;0.67926;0.21271;LARANJA;1207;;0
118;CN;12018;D;29;0;;1.82986;1.82071;0.19864;ROSA;1223;;0
4;LC;140697;E;6;0;;3.02681;1.22717;0.15562;ROSA;1283;0;0
7;LC;40390;A;22;0;;2.71986;-1.03297;0.01557;LARANJA;1207;;0
89;CH;141049;D;22;0;;1.40431;0.08591;0.21032;VERDE;1311;;0
79;CH;141123;D;3;0;;0.76651;1.69321;0.09277;VERDE;1311;;0
69;CH;140430;A;27;0;;3.07524;1.19358;0.14876;VERDE;1311;;0
46;CH;140166;A;15;0;;2.42214;-0.62019;0.09595;VERDE;1312;;0
86;CH;140534;D;6;0;;2.79594;0.44013;0.15523;VERDE;1312;;0
146;MT;6954;C;3;0;;2.416;0.991;0.118;ROSA;1293;;0
145;MT;125965;C;10;0;;2.47907;0.45055;0.17829;ROSA;1293;;0
180;MT;44095;C;8;0;;2.56873;2.03809;0.20898;CINZA;1294;;0
75;CH;140548;C;29;0;;3.00594;-0.06348;0.20314;BRANCA;1273;;0
53;CH;141070;E;8;0;;1.69043;0.2202;0.19072;ROSA;1274;;0
45;LC;140949;C;16;0;;1.43175;0.80537;0.12273;VERDE;1314;;0
44;LC;141776;C;15;0;;1.22341;0.82185;0.06897;VERDE;1314;;0
1;LC;140652;E;5;0;;1.55494;0.70223;0.21103;LARANJA;1287;1;0
131;CN;83378;B;3;0;;1.92829;-1.14947;0.20133;LARANJA;1228;;1
125;CN;87721;E;8;0;;2.1809;1.01182;0.20267;LARANJA;1228;;1
118;CN;12018;D;29;0;;1.82986;1.82071;0.19864;LARANJA;1228;;1
94;CN;117631;A;18;0;;1.50761;0.49481;0.17371;ROSA;1226;;0
92;CN;60991;D;25;0;;3.56699;1.70996;0.19228;CINZA;1263;;0
128;CN;40431;B;24;0;;2.92795;1.7851;0.12882;ROSA;1264;;0
72;CH;141313;A;9;0;;1.73459;1.11117;0.2438;LARANJA;1238;;1
109;CN;83552;D;7;0;;2.40735;1.62185;0.13073;AZUL;1221;;0
121;CN;87989;C;2;0;;2.32351;1.21005;0.10449;AMARELA;1222;;0
133;CN;66330;A;7;0;;1.0858;2.67412;0.10118;ROSA;1223;;0
51;CH;140426;E;28;0;;2.81419;0.63293;0.20398;AMARELA;1272;;0
34;LC;140909;A;27;0;;2.0402;0.915;0.1813;ROSA;1283;;0
64;CH;141131;B;26;0;;2.78931;0.82081;0.25733;VERDE;1312;;0
60;CH;125719;E;23;0;;2.53325;0.6643;0.17011;VERDE;1312;;0
129;CN;47317;A;4;0;;2.53442;1.21479;0.15339;CINZA;1224;;0
127;CN;88557;C;21;0;;2.6042;1.59379;0.26321;CINZA;1224;;0
173;MT;44814;E;1;0;;1.59068;1.68621;0.13542;ROSA;1293;;0
163;MT;125959;B;23;0;;2.2547;1.1525;0.16991;ROSA;1293;;0
98;CN;86347;B;28;0;;3.97355;1.19295;0.12256;AZUL;1221;;0
12;LC;36864;A;12;0;;1.14733;0.38901;0.23027;ROSA;1283;;0
94;CN;117631;A;18;0;;1.50761;0.49481;0.17371;ROSA;1225;;0
135;CN;63155;D;26;0;;3.97972;1.34607;0.24211;ROSA;1226;;0
67;CH;140180;A;11;0;;2.54102;0.57876;0.1767;BRANCA;1273;;0
86;CH;85740;D;23;0;;1.06381;0.36024;0.20981;ROSA;1274;;0
36;LC;140861;E;15;0;;1.44927;2.3924;0.16723;VERDE;1314;;0
32;LC;140942;D;25;0;;2.53674;0.2806;0.1843;VERDE;1314;;0
31;LC;140869;E;24;0;;1.15309;1.88931;0.22049;VERDE;1314;;0
26;LC;141448;C;19;0;;0.99432;-0.13224;0.02226;VERDE;1314;;0
90;CH;140588;B;28;0;;2.21675;0.28898;0.20874;ROSA;1274;;0
49;CH;140674;D;12;0;;1.18697;0.2661;0.22138;VERDE;1312;;0
173;MT;82009;D;2;0;;1.97365;0.14531;0.19547;CINZA;1254;;0
48;CH;140536;B;2;0;;1.85938;0.20017;0.19319;AMARELA;1235;;0
61;CH;141024;D;8;0;;1.38076;0.46553;0.21175;AMARELA;1275;;0
87;CH;141345;E;26;0;;1.64714;-0.15918;0.19597;LARANJA;1278;;1
171;MT;141567;D;24;0;;1.18793;1.75696;0.15183;VERDE;1316;;0
148;MT;14366;C;1;0;;1.52531;0.63295;0.18496;VERDE;1316;;0
143;MT;141513;A;20;0;;1.72676;0.3783;0.17229;VERDE;1316;;0
121;CN;117711;A;14;0;;2.18942;2.20856;0.13524;VERDE;1317;;0
119;CN;117823;D;6;0;;3.78075;1.77929;0.05731;VERDE;1317;;0
67;CH;141050;A;26;0;;2.73781;1.71743;0.23395;AMARELA;1236;;0
47;CH;141044;C;2;0;;3.33701;0.2793;0.20318;AMARELA;1236;;0
84;CH;141387;B;25;0;;2.50523;-0.04116;0.18539;LARANJA;1237;;0
147;MT;111754;B;15;0;;2.95569;2.84307;0.24511;VERDE;1316;;0
146;MT;125902;A;6;0;;2.40824;2.57722;0.04513;VERDE;1316;;0
78;CH;140426;E;28;0;;2.81419;0.63293;0.20398;LARANJA;1237;;0
44;LC;140811;A;30;0;;2.03832;0.76702;0.24521;AMARELA;1246;;0
107;CN;96496;B;17;0;;3.65573;1.2408;0.31288;CINZA;1303;;0
92;CN;60991;D;25;0;;3.56699;1.70996;0.19228;CINZA;1303;;0
136;MT;14812;D;20;0;;1.56944;-0.00093;0.11987;AMARELA;1295;;0
158;MT;125956;A;29;0;;1.21177;3.11314;0.10322;AMARELA;1296;;0
142;MT;117714;A;9;0;;2.60222;2.09304;0.17394;AMARELA;1296;;0
180;MT;96099;B;1;0;;2.10364;1.58069;0.19261;LARANJA;1297;;0
176;MT;117601;E;10;0;;3.53513;2.27283;0.14674;LARANJA;1297;;0
179;MT;14774;E;18;0;;1.641;0.045;0.175;AMARELA;1255;;0
164;MT;111560;A;15;0;;2.34866;1.28885;0.1796;AMARELA;1255;;0
153;MT;96489;B;5;0;;1.95326;0.87566;0.13053;AMARELA;1255;;0
150;MT;44285;E;8;0;;2.94723;2.87386;0.06733;LARANJA;1297;;0
175;MT;117594;D;14;0;;2.85622;2.39663;0.21409;LARANJA;1298;;1
171;MT;55880;B;28;0;;1.83744;2.4295;0.10941;LARANJA;1298;;1
80;CH;141007;A;5;0;;2.36915;-0.20871;0.19363;BRANCA;1233;;0
72;CH;140951;D;22;0;;2.63908;0.27834;0.17545;BRANCA;1233;;0
67;CH;140180;A;11;0;;2.54102;0.57876;0.1767;BRANCA;1233;;0
60;CH;141070;E;8;0;;1.69043;0.2202;0.19072;BRANCA;1233;;0
55;CH;141021;B;24;0;;2.15539;2.47587;0.28708;BRANCA;1233;;0
54;CH;140588;B;28;0;;2.21675;0.28898;0.20874;BRANCA;1233;;0
90;CH;140588;B;28;0;;2.21675;0.28898;0.20874;ROSA;1234;;0
136;MT;14812;D;20;0;;1.56944;-0.00093;0.11987;LARANJA;1258;;1
70;CH;87223;B;3;0;;2.00691;2.05587;0.29477;AMARELA;1235;;0
160;MT;117633;D;5;0;;1.37105;2.55621;0.17151;LEITOR TELA;1220;;0
117;CN;82333;A;22;0;;2.71433;1.9822;0.05932;AZUL;1221;;0
174;MT;126030;D;18;0;;3.85903;2.30004;0.32314;LEITOR TELA;1260;;0
144;MT;64151;E;2;0;;2.19283;2.05125;0.07643;AMARELA;1256;;0
97;CN;26042;D;19;0;;3.9865;1.63479;0.19026;VERDE;1317;;0
135;CN;63155;D;26;0;;3.97972;1.34607;0.24211;VERDE;1318;;0
120;CN;83552;D;7;0;;2.40735;1.62185;0.13073;VERDE;1318;;0
119;CN;117823;D;6;0;;3.78075;1.77929;0.05731;VERDE;1318;;0
97;CN;141738;A;4;0;;2.03842;2.62635;0.23027;LARANJA;1267;;0
115;CN;13234;B;17;0;;1.03245;1.23487;0.12791;LEITOR TELA;1310;;0
127;CN;117840;A;23;0;;1.30209;2.54323;0.15444;LEITOR TELA;1270;;0
145;MT;125965;C;10;0;;2.47907;0.45055;0.17829;AMARELA;1256;;0
164;MT;96489;B;5;0;;1.95326;0.87566;0.13053;AZUL;1251;;0
153;MT;14774;E;18;0;;1.641;0.045;0.175;AZUL;1251;;0
146;MT;44095;C;8;0;;2.56873;2.03809;0.20898;AMARELA;1252;;0
105;CN;117828;B;19;0;;2.80401;1.5881;0.34028;AZUL;1261;;0
96;CN;89877;E;30;0;;2.64928;1.83585;0.205;ROSA;1304;;0
115;CN;13234;B;17;0;;1.03245;1.23487;0.12791;AMARELA;1306;;0
110;CN;11543;E;12;0;;1.97133;0.18515;0.1645;AMARELA;1306;;0
119;CN;126559;B;18;0;;1.87573;2.07387;0.0786;ROSA;1264;;0
113;CN;41122;C;15;0;;2.94887;0.69942;0.20571;ROSA;1264;;0
127;CN;117840;A;23;0;;1.30209;2.54323;0.15444;LARANJA;1307;;0
125;CN;111492;D;22;0;;1.98795;2.27444;0.11215;LARANJA;1307;;0
123;CN;76380;D;21;0;;3.41659;1.65717;0.19066;LARANJA;1307;;0
106;CN;126545;A;10;0;;1.75908;1.33559;0.23258;LARANJA;1307;;0
103;CN;11309;C;8;0;;1.62855;-1.00049;0.09528;LARANJA;1307;;0
41;LC;141208;D;10;0;;2.30879;0.81162;0.16623;AZUL;1281;;0
43;LC;141231;D;9;0;;1.59315;-0.23802;0.19091;AMARELA;1282;;0
40;LC;36864;A;12;0;;1.14733;0.38901;0.23027;AMARELA;1282;;0
54;CH;141028;D;10;0;;2.27674;0.22219;0.20185;LARANJA;1238;;1
80;CH;141466;C;20;0;;2.82802;0.97492;0.32247;LEITOR TELA;1240;;0
78;CH;140426;E;28;0;;2.81419;0.63293;0.20398;LEITOR TELA;1240;;0
70;CH;87223;B;3;0;;2.00691;2.05587;0.29477;LEITOR TELA;1240;;0
20;LC;15026;D;14;0;;1.85867;0.9812;0.24537;AZUL;1241;;0
15;LC;141467;E;22;0;;2.80475;0.9347;0.17052;AZUL;1241;;0
8;LC;14727;D;16;0;;2.1034;-0.07713;0.12881;AZUL;1241;;0
3;LC;140565;D;5;0;;2.78457;0.65111;0.16995;BRANCA;1284;1;0
2;LC;140708;A;5;0;;2.51157;0.79309;0.17248;BRANCA;1284;0;0
42;LC;140926;D;26;0;;1.95105;-0.13372;0.19557;AMARELA;1285;;0
174;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AMARELA;1256;;0
180;MT;96099;B;1;0;;2.10364;1.58069;0.19261;LARANJA;1257;;0
179;MT;14774;E;18;0;;1.641;0.045;0.175;LARANJA;1257;;0
176;MT;117601;E;10;0;;3.53513;2.27283;0.14674;LARANJA;1257;;0
155;MT;111538;D;27;0;;1.56473;0.75949;0.32554;LARANJA;1257;;0
175;MT;117706;A;19;0;;2.26306;1.45121;0.23837;CINZA;1214;;0
172;MT;117633;D;5;0;;1.37105;2.55621;0.17151;CINZA;1214;;0
166;MT;48324;B;8;0;;2.09451;2.44818;0.25838;CINZA;1214;;0
160;MT;27330;A;18;0;;1.94836;1.9392;0.17138;CINZA;1214;;0
147;MT;39385;C;12;0;;2.28918;2.23364;0.23391;CINZA;1214;;0
146;MT;14389;A;15;0;;0.96035;1.52433;0.14823;CINZA;1214;;0
